id,name,pos,team,img
camthomas-SG,Cam Thomas,SG,BKN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6430.png&w=96&h=70&cb=1
camwhitmore-SF,Cam Whitmore,SF,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105592.png&w=96&h=70&cb=1
carislevert-SG,Caris LeVert,SG,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991043.png&w=96&h=70&cb=1
casonwallace-PG,Cason Wallace,PG,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683692.png&w=96&h=70&cb=1
cediosman-SF,Cedi Osman,SF,SA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3893016.png&w=96&h=70&cb=1
chetholmgren-PF,Chet Holmgren,PF,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433255.png&w=96&h=70&cb=1
chrisboucher-PF,Chris Boucher,PF,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3948153.png&w=96&h=70&cb=1
chrispaul-PG,Chris Paul,PG,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3149673.png&w=96&h=70&cb=1
christianbraun-SG,Christian Braun,SG,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431767.png&w=96&h=70&cb=1
christianwood-C,Christian Wood,C,LAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3058254.png&w=96&h=70&cb=1
cjmccollum-SG,CJ McCollum,SG,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3112335.png&w=96&h=70&cb=1
clintcapela-C,Clint Capela,C,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066320.png&w=96&h=70&cb=1
cobywhite-PG,Coby White,PG,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=96&h=70&cb=1
coleanthony-PG,Cole Anthony,PG,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432809.png&w=96&h=70&cb=1
collinsexton-SG,Collin Sexton,SG,UTAH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277811.png&w=96&h=70&cb=1
craigporter-SG,Craig Porter,SG,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4701233.png&w=96&h=70&cb=1
damianlillard-PG,Damian Lillard,PG,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6606.png&w=96&h=70&cb=1
dangelorussell-PG,DAngelo Russell,PG,LAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3975.png&w=96&h=70&cb=1
danielgafford-C,Daniel Gafford,C,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278049.png&w=96&h=70&cb=1
danteexum-PG,Dante Exum,PG,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102528.png&w=96&h=70&cb=1
dariosaric-PF,Dario Saric,PF,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032978.png&w=96&h=70&cb=1
dariusgarland-PG,Darius Garland,PG,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136193.png&w=96&h=70&cb=1
davionmitchell-PG,Davion Mitchell,PG,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278053.png&w=96&h=70&cb=1
dayronsharpe-C,DayRon Sharpe,C,BKN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432194.png&w=96&h=70&cb=1
deaaronfox-PG,DeAaron Fox,PG,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066259.png&w=96&h=70&cb=1
deandreayton-C,Deandre Ayton,C,POR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5104157.png&w=96&h=70&cb=1
deandrehunter-SF,DeAndre Hunter,SF,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065732.png&w=96&h=70&cb=1
deanthonymelton-PG,DeAnthony Melton,PG,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066436.png&w=96&h=70&cb=1
dejountemurray-PG,Dejounte Murray,PG,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907497.png&w=96&h=70&cb=1
delonwright-SG,Delon Wright,SG,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064447.png&w=96&h=70&cb=1
demarderozan-SF,DeMar DeRozan,SF,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3978.png&w=96&h=70&cb=1
deniavdija-SF,Deni Avdija,SF,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683021.png&w=96&h=70&cb=1
dennisschroder-PG,Dennis Schroder,PG,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6478.png&w=96&h=70&cb=1
dennissmithjr-PG,Dennis Smith Jr,PG,BKN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065697.png&w=96&h=70&cb=1
derecklivelyii-C,Dereck Lively II,C,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683688.png&w=96&h=70&cb=1
derrickjonesjr-SF,Derrick Jones Jr,SF,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936099.png&w=96&h=70&cb=1
derrickrose-PG,Derrick Rose,PG,MEM,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3456.png&w=96&h=70&cb=1
derrickwhite-PG,Derrick White,PG,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432816.png&w=96&h=70&cb=1
desmondbane-SG,Desmond Bane,SG,MEM,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066320.png&w=96&h=70&cb=1
devinbooker-SG,Devin Booker,SG,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136193.png&w=96&h=70&cb=1
devinvassell-SF,Devin Vassell,SF,SA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279888.png&w=96&h=70&cb=1
dillonbrooks-SG,Dillon Brooks,SG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3155526.png&w=96&h=70&cb=1
domantassabonis-PF,Domantas Sabonis,PF,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3155942.png&w=96&h=70&cb=1
donovanmitchell-SG,Donovan Mitchell,SG,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3908809.png&w=96&h=70&cb=1
dontedivincenzo-SG,Donte DiVincenzo,SG,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3934673.png&w=96&h=70&cb=1
dorianfinneysmith-SF,Dorian FinneySmith,SF,BKN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2578185.png&w=96&h=70&cb=1
draymondgreen-PF,Draymond Green,PF,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6589.png&w=96&h=70&cb=1
dreweubanks-PF,Drew Eubanks,PF,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3914285.png&w=96&h=70&cb=1
duncanrobinson-SG,Duncan Robinson,SG,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3157465.png&w=96&h=70&cb=1
dwightpowell-C,Dwight Powell,C,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2531367.png&w=96&h=70&cb=1
dysondaniels-PG,Dyson Daniels,PG,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4869342.png&w=96&h=70&cb=1
emonibates-SF,Emoni Bates,SF,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433620.png&w=96&h=70&cb=1
ericgordon-SG,Eric Gordon,SG,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3431.png&w=96&h=70&cb=1
evanmobley-PF,Evan Mobley,PF,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4594268.png&w=96&h=70&cb=1
franzwagner-SF,Franz Wagner,SF,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278073.png&w=96&h=70&cb=1
fredvanvleet-PG,Fred VanVleet,PG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991230.png&w=96&h=70&cb=1
gabevincent-PG,Gabe Vincent,PG,LAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3137259.png&w=96&h=70&cb=1
garypaytonii-PG,Gary Payton II,PG,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134903.png&w=96&h=70&cb=1
garytrentjr-SG,Gary Trent Jr,SG,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277843.png&w=96&h=70&cb=1
