id,name,pos,team,img
chargersdst-DST,Chargers DST,DST,LAC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png&h=188&w=188&w=96&h=70&cb=1
chasebrown-RB,Chase Brown,RB,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4362238.png&w=96&h=70&cb=1
chasemclaughlin-K,Chase McLaughlin,K,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3150744.png&w=96&h=70&cb=1
chiefsdst-DST,Chiefs DST,DST,KC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png&h=188&w=188&w=96&h=70&cb=1
chigoziemokonkwo-TE,Chigoziem Okonkwo,TE,TEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360635.png&w=96&h=70&cb=1
chrisgodwin-WR,Chris Godwin,WR,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116165.png&w=96&h=70&cb=1
chrisolave-WR,Chris Olave,WR,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4361370.png&w=96&h=70&cb=1
christiankirk-WR,Christian Kirk,WR,JAX,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3895856.png&w=96&h=70&cb=1
christianmccaffrey-RB,Christian McCaffrey,RB,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3117251.png&w=96&h=70&cb=1
christianwatson-WR,Christian Watson,WR,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4248528.png&w=96&h=70&cb=1
chubahubbard-RB,Chuba Hubbard,RB,CAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4241416.png&w=96&h=70&cb=1
cjstroud-QB,CJ Stroud,QB,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4432577.png&w=96&h=70&cb=1
clydeedwardshelaire-RB,Clyde EdwardsHelaire,RB,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4242214.png&w=96&h=70&cb=1
colekmet-TE,Cole Kmet,TE,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4258595.png&w=96&h=70&cb=1
