id,name,pos,team,img
49ersdst-DST,49ers DST,DST,SF,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&h=150&w=150&w=96&h=70&cb=1
aaronjones-RB,Aaron Jones,RB,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3042519.png&w=96&h=70&cb=1
aaronrodgers-QB,Aaron Rodgers,QB,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png&w=96&h=70&cb=1
adamthielen-WR,Adam Thielen,WR,CAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16460.png&w=96&h=70&cb=1
ajbrown-WR,AJ Brown,WR,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047646.png&w=96&h=70&cb=1
ajdillon-RB,AJ Dillon,RB,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4239934.png&w=96&h=70&cb=1
alecpierce-WR,Alec Pierce,WR,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360078.png&w=96&h=70&cb=1
alexandermattison-RB,Alexander Mattison,RB,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4048244.png&w=96&h=70&cb=1
allenlazard-WR,Allen Lazard,WR,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128390.png&w=96&h=70&cb=1
allenrobinsonii-WR,Allen Robinson II,WR,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16799.png&w=96&h=70&cb=1
alvinkamara-RB,Alvin Kamara,RB,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3054850.png&w=96&h=70&cb=1
amaricooper-WR,Amari Cooper,WR,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2976499.png&w=96&h=70&cb=1
amonrastbrown-WR,AmonRa St Brown,WR,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4374302.png&w=96&h=70&cb=1
anderscarlson-K,Anders Carlson,K,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4242519.png&w=96&h=70&cb=1
