week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
0,djmoore-WR,,GB,12.7,,95.6,1.4,12.7,13.6
0,dkmetcalf-WR,,LAR,16.3,,99.8,0.1,16.3,15.3
0,dolphinsdst-DST,,@LAC,5.9,,85.8,-1.6,5.9,7.6
0,donovanpeoplesjones-WR,,CIN,7.0,,5.9,1.0,7.0,7.2
0,dontaforeman-RB,,GB,5.3,,15.7,2.1,5.3,6.6
0,drakelondon-WR,,CAR,12.4,,91.5,2.4,12.4,12.9
0,dustinhopkins-K,,CIN,8.0,,5.7,5.5,8.0,8.0
0,eaglesdst-DST,,@NE,6.9,,68.1,3.8,6.9,5.6
0,eddypineiro-K,Q,@ATL,7.8,,22.7,-5.7,7.8,7.5
0,elijahmitchell-RB,,@PIT,6.0,,51.0,13.1,6.0,8.5
0,elijahmoore-WR,,CIN,8.5,,57.4,7.2,8.5,9.4
0,evanengram-TE,,@IND,9.9,,93.2,1.8,9.9,10.0
0,evanhull-RB,,JAX,8.2,,12.1,11.2,8.2,4.7
0,evanmcpherson-K,,@CLE,8.3,,98.8,0.5,8.3,8.5
0,ezekielelliott-RB,,PHI,7.6,,67.3,9.1,7.6,9.1
0,falconsdst-DST,,CAR,7.0,,5.7,1.5,7.0,5.8
0,gabedavis-WR,,@NYJ,10.1,,81.4,1.7,10.1,10.8
0,garrettwilson-WR,,BUF,16.5,,99.8,0.2,16.5,16.7
0,genosmith-QB,,LAR,19.2,,81.4,0.3,19.2,17.0
0,georgekittle-TE,Q,@PIT,10.5,,98.7,0.4,10.5,11.1
0,georgepickens-WR,,SF,10.8,,91.9,2.3,10.8,12.1
0,geraldeverett-TE,,MIA,7.5,,43.1,3.2,7.5,8.1
0,grahamgano-K,,DAL,8.1,,90.7,0.5,8.1,8.2
0,gregdulcich-TE,,LV,7.2,,34.2,-6.7,7.2,7.3
0,gregjoseph-K,,TB,8.0,,8.8,2.3,8.0,8.0
0,gregzuerlein-K,,BUF,7.7,,29.3,2.8,7.7,7.9
0,gusedwards-RB,,HOU,5.2,,21.1,6.4,5.2,7.0
0,harrisonbutker-K,,DET,8.4,,97.3,1.7,8.4,8.4
0,haydenhurst-TE,,@ATL,6.8,,4.7,0.3,6.8,7.1
0,hunterrenfrow-WR,,@DEN,8.3,,22.3,4.6,8.3,9.3
0,irvsmithjr-TE,,@CLE,6.8,,6.3,0.9,6.8,7.2
0,isaiahhodgins-WR,,DAL,6.0,,6.7,1.2,6.0,6.8
0,isiahpacheco-RB,,DET,10.6,,93.2,2.3,10.6,13.5
0,jaguarsdst-DST,,@IND,7.5,,15.1,4.3,7.5,5.3
0,jahandotson-WR,,ARI,11.1,,86.8,3.1,11.1,11.5
0,jahmyrgibbs-RB,,@KC,13.9,,98.5,1.0,13.9,15.3
0,jakeelliott-K,,@NE,8.3,,79.0,13.0,8.3,8.4
0,jakeferguson-TE,,@NYG,5.5,,5.0,1.8,5.5,6.1
0,jakemoody-K,Q,@PIT,7.3,,6.6,-2.4,7.3,7.9
0,jakobimeyers-WR,,@DEN,10.9,,80.2,1.2,10.9,11.6
0,jalenhurts-QB,,@NE,21.5,,99.9,0.0,21.5,22.5
0,jalinhyatt-WR,,DAL,2.1,,7.0,1.5,2.1,3.5
0,jamaalwilliams-RB,,TEN,12.6,,85.7,1.9,12.6,9.8
0,jamarrchase-WR,,@CLE,20.4,,99.9,0.0,20.4,20.9
0,jamesconner-RB,,@WSH,14.9,,95.8,1.7,14.9,15.6
0,jamescook-RB,,@NYJ,12.3,,92.9,3.1,12.3,14.0
0,jamesonwilliams-WR,SSPD,@KC,0.0,,19.1,1.6,0.0,9.6
0,jaredgoff-QB,,@KC,15.7,,47.3,4.4,15.7,15.3
0,jasonmyers-K,,LAR,8.6,,86.8,1.9,8.6,8.1
0,jasonsanders-K,,@LAC,7.9,,6.9,2.2,7.9,7.9
0,javontewilliams-RB,,LV,11.5,,91.4,3.6,11.5,14.6
0,jaxonsmithnjigba-WR,Q,LAR,0.0,,85.0,1.1,0.0,11.6
0,jaydenreed-WR,,@CHI,8.2,,14.5,3.8,8.2,8.6
0,jaylenwaddle-WR,Q,@LAC,15.3,,99.7,0.1,15.3,15.4
0,jaylenwarren-RB,,SF,6.5,,43.9,16.3,6.5,8.4
0,jeffwilsonjr-RB,IR,@LAC,0.0,,57.9,-14.3,0.0,10.5
0,jelaniwoods-TE,IR,JAX,0.0,,4.7,-0.5,0.0,7.6
0,jerickmckinnon-RB,,DET,10.4,,75.8,2.4,10.4,9.7
0,jeromeford-RB,,CIN,5.5,,9.2,3.0,5.5,7.8
0,jerryjeudy-WR,Q,LV,0.0,,93.7,-1.4,0.0,13.9
0,jetsdst-DST,,BUF,4.5,,80.1,0.9,4.5,6.5
0,jimmygaroppolo-QB,,@DEN,15.4,,12.8,2.9,15.4,15.6
0,jkdobbins-RB,,HOU,12.7,,90.6,3.2,12.7,14.1
0,joeburrow-QB,Q,@CLE,19.7,,99.7,0.1,19.7,21.1
0,joemixon-RB,,@CLE,14.8,,99.7,0.1,14.8,16.2
0,johnmetchieiii-WR,,@BAL,2.6,,5.1,-1.6,2.6,4.0
0,jonathanmingo-WR,,@ATL,7.5,,19.5,6.0,7.5,8.5
