pick,round,manager_id,player_id
1,1,10,christianmccaffrey-RB
2,1,9,ceedeelamb-WR
3,1,5,tyreekhill-WR
4,1,8,breecehall-RB
5,1,7,bijanrobinson-RB
6,1,1,amonrastbrown-WR
7,1,3,justinjefferson-WR
8,1,2,jamarrchase-WR
9,1,6,ajbrown-WR
10,1,4,garrettwilson-WR
11,2,4,jonathantaylor-RB
12,2,6,kyrenwilliams-RB
13,2,2,jahmyrgibbs-RB
14,2,3,saquonbarkley-RB
15,2,1,pukanacua-WR
16,2,7,chrisolave-WR
17,2,8,davanteadams-WR
18,2,5,isiahpacheco-RB
19,2,9,travisetiennejr-RB
20,2,10,derrickhenry-RB
21,3,10,deebosamuelsr-WR
22,3,9,marvinharrisonjr-WR
23,3,5,mikeevans-WR
24,3,8,drakelondon-WR
25,3,7,djmoore-WR
26,3,1,alvinkamara-RB
27,3,3,rachaadwhite-RB
28,3,2,nicocollins-WR
29,3,6,michaelpittmanjr-WR
30,3,4,samlaporta-TE
31,4,4,jaylenwaddle-WR
32,4,6,traviskelce-TE
33,4,2,devonachane-RB
34,4,3,stefondiggs-WR
35,4,1,jamescook-RB
36,4,7,joemixon-RB
37,4,8,dkmetcalf-WR
38,4,5,joshjacobs-RB
39,4,9,kennethwalkeriii-RB
40,4,10,cooperkupp-WR
41,5,10,maliknabers-WR
42,5,9,devontasmith-WR
43,5,5,brandonaiyuk-WR
44,5,8,joshallen-QB
45,5,7,jalenhurts-QB
46,5,1,lamarjackson-QB
47,5,3,patrickmahomes-QB
48,5,2,treymcbride-TE
49,5,6,zayflowers-WR
50,5,4,teehiggins-WR
51,6,4,cjstroud-QB
52,6,6,rhamondrestevenson-RB
53,6,2,rasheerice-WR
54,6,3,markandrews-TE
55,6,1,calvinridley-WR
56,6,7,evanengram-TE
57,6,8,jamesconner-RB
58,6,5,georgekittle-TE
59,6,9,zamirwhite-RB
60,6,10,chrisgodwin-WR
61,7,10,anthonyrichardson-QB
62,7,9,joeburrow-QB
63,7,5,aaronjones-RB
64,7,8,amaricooper-WR
65,7,7,georgepickens-WR
66,7,1,terrymclaurin-WR
67,7,3,tankdell-WR
68,7,2,jaxonsmithnjigba-WR
69,7,6,dandreswift-RB
70,7,4,diontaejohnson-WR
71,8,4,davidmontgomery-RB
72,8,6,dakprescott-QB
73,8,2,kylermurray-QB
74,8,3,christiankirk-WR
75,8,1,daltonkincaid-TE
76,8,7,keenanallen-WR
77,8,8,javontewilliams-RB
78,8,5,najeeharris-RB
79,8,9,kylepitts-TE
80,8,10,jakeferguson-TE
81,9,10,devinsingletary-RB
82,9,9,brianrobinsonjr-RB
83,9,5,christianwatson-WR
84,9,8,courtlandsutton-WR
85,9,7,raheemmostert-RB
86,9,1,tonypollard-RB
87,9,3,mikewilliams-WR
88,9,2,romeodunze-WR
89,9,6,keoncoleman-WR
90,9,4,austinekeler-RB
91,10,4,jordanaddison-WR
92,10,6,jaylenwarren-RB
93,10,2,chasebrown-RB
94,10,3,jaydenreed-WR
95,10,1,tyjaespears-RB
96,10,7,xavierworthy-WR
97,10,8,davidnjoku-TE
98,10,5,deandrehopkins-WR
99,10,9,laddmcconkey-WR
100,10,10,nickchubb-RB
101,11,10,jeromeford-RB
102,11,9,jakobimeyers-WR
103,11,5,tylerallgeier-RB
104,11,8,brianthomasjr-WR
105,11,7,justintucker-K
106,11,1,jaydendaniels-QB
107,11,3,ezekielelliott-RB
108,11,2,jordanlove-QB
109,11,6,marquisebrown-WR
110,11,4,brockpurdy-QB
111,12,4,chubahubbard-RB
112,12,6,brockbowers-TE
113,12,2,jonathonbrooks-RB
114,12,3,blakecorum-RB
115,12,1,zackmoss-RB
116,12,7,dallasgoedert-TE
117,12,8,gusedwards-RB
118,12,5,jerryjeudy-WR
119,12,9,darnellmooney-WR
120,12,10,tjhockenson-TE
121,13,10,jkdobbins-RB
122,13,9,zachcharbonnet-RB
123,13,5,antoniogibson-RB
124,13,8,khalilshakir-WR
125,13,7,curtissamuel-WR
126,13,1,tylerlockett-WR
127,13,3,adamthielen-WR
128,13,2,treybenson-RB
129,13,6,gabedavis-WR
130,13,4,brandonaubrey-K
131,14,4,demariodouglas-WR
132,14,6,tychandler-RB
133,14,2,brownsdst-DST
134,14,3,jamesonwilliams-WR
135,14,1,patfreiermuth-TE
136,14,7,49ersdst-DST
137,14,8,joshuapalmer-WR
138,14,5,harrisonbutker-K
139,14,9,rashidshaheed-WR
140,14,10,jalynnpolk-WR
141,15,10,cowboysdst-DST
142,15,9,jetsdst-DST
143,15,5,ravensdst-DST
144,15,8,steelersdst-DST
145,15,7,calebwilliams-QB
146,15,1,saintsdst-DST
147,15,3,jakeelliott-K
148,15,2,xavierlegette-WR
149,15,6,younghoekoo-K
150,15,4,daltonschultz-TE
151,16,4,dolphinsdst-DST
152,16,6,chiefsdst-DST
153,16,2,kaimifairbairn-K
154,16,3,bengalsdst-DST
155,16,1,jakemoody-K
156,16,7,jaleelmclaughlin-RB
157,16,8,evanmcpherson-K
158,16,5,aaronrodgers-QB
159,16,9,jakebates-K
160,16,10,camerondicker-K
