week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
0,charlieblackmon-OF,,MIL,,,22.4,-2.2,298.0,2.2
0,charliemorton-SP,,@MIA,,,89.1,3.2,334.0,10.8
0,chasmccormick-OF,IL10,SF,,,5.4,-0.4,202.0,1.6
0,chrisbassitt-SP,,@BOS,,,79.4,-2.0,348.0,11.6
0,chrissale-SP,,TOR,,,65.4,-7.8,304.0,11.7
0,christaylor-OF,,PHI,,,4.2,0.1,202.0,1.6
0,christianbethancourt-C,,PIT,,,10.1,1.0,146.0,1.5
0,christianvazquez-C,,@CHW,,,4.1,-0.9,187.0,1.6
0,christianwalker-1B,,@TEX,,,70.7,-1.3,354.0,2.3
0,christianyelich-OF,,@COL,,,76.0,-3.4,324.0,2.1
0,cjabrams-SS,,CHC,,,11.6,-0.6,316.0,2.1
0,cjcron-1B,,MIL,,,72.5,-6.1,349.0,2.3
0,clarkeschmidt-RP,,CLE,,,2.4,-0.3,137.0,4.4
0,clayholmes-RP,,CLE,,,59.3,-9.1,284.0,4.2
0,claytonkershaw-SP,,PHI,,,97.7,1.0,297.0,14.1
0,codybellinger-OF,,@WSH,,,87.0,9.5,271.0,1.8
0,coleirvin-SP,,@KC,,,1.6,-0.3,271.0,8.7
0,colinholderman-RP,,@TB,,,4.2,0.6,57.0,1.5
0,colinrea-SP,,@COL,,,1.1,-2.6,55.0,3.4
0,collinmchugh-RP,,@MIA,,,1.3,-0.2,150.0,3.8
0,connorjoe-OF,,@TB,,,16.0,2.6,127.0,1.7
0,corbinburnes-SP,,@COL,,,99.8,0.0,527.0,16.5
0,corbincarroll-OF,DTD,@TEX,,,89.9,0.9,340.0,2.8
0,coreykluber-SP,,TOR,,,7.7,-0.2,277.0,9.2
0,coreyseager-SS,IL10,ARI,,,96.7,-0.4,444.0,2.9
0,craigkimbrel-RP,,@LAD,,,17.7,1.4,240.0,3.5
0,cristianjavier-SP,,SF,,,97.2,0.1,402.0,13.4
0,danedunning-SP,,ARI,,,2.4,-0.7,118.0,5.1
0,danielbard-RP,,MIL,,,26.3,-4.6,225.0,4.5
0,danielhudson-RP,IL60,PHI,,,3.6,-0.5,188.0,3.2
0,dannyjansen-C,,@BOS,,,15.4,0.2,261.0,2.1
0,dansbyswanson-SS,,@WSH,,,91.9,-1.6,357.0,2.3
0,daultonvarsho-C,,@BOS,,,88.0,-6.0,335.0,2.3
0,davidbednar-RP,,@TB,,,88.2,3.9,241.0,4.2
0,davidpeterson-SP,,@DET,,,5.3,-2.7,219.0,8.4
0,davidrobertson-RP,,@DET,,,70.5,-2.3,260.0,4.3
0,deankremer-SP,,@KC,,,1.3,-0.4,170.0,7.1
0,devinwilliams-RP,,@COL,,,95.2,-0.3,364.0,5.4
0,djlemahieu-3B,,CLE,,,70.9,-0.7,302.0,2.5
0,domingogerman-SP,,CLE,,,12.6,3.2,235.0,9.8
0,drewrasmussen-SP,,PIT,,,88.9,-3.1,316.0,11.3
0,drewsmith-RP,,@DET,,,1.6,-0.2,79.0,2.0
0,drewsmyly-SP,,@WSH,,,28.6,20.9,154.0,7.0
0,dreyjameson-SP,,@TEX,,,2.9,-6.3,111.0,5.8
0,dustinmay-SP,,PHI,,,80.5,-0.7,266.0,11.1
0,dylancarlson-OF,,LAA,,,3.9,-0.5,297.0,2.0
0,dylancease-SP,,MIN,,,98.5,-1.1,450.0,14.1
0,dylanfloro-RP,,ATL,,,7.7,-1.1,214.0,3.6
0,dylanlee-RP,,@MIA,,,3.4,-1.4,118.0,2.2
0,eddierosario-OF,,@MIA,,,2.3,1.0,210.0,1.9
0,eduardorodriguez-SP,,NYM,,,52.4,29.7,250.0,9.6
0,edwardcabrera-SP,,ATL,,,11.8,-1.4,194.0,8.1
0,edwindiaz-RP,IL60,@DET,,,19.7,-0.9,0.0,0.0
0,eliasdiaz-C,,MIL,,,27.0,-11.9,173.0,1.7
0,elimorgan-RP,,@NYY,,,3.0,-0.6,101.0,1.4
0,ellydelacruz-SS,,@SD,,,2.3,-0.1,18.0,3.0
0,eloyjimenez-OF,DTD,MIN,,,67.2,-5.9,315.0,2.3
0,elvisandrus-SS,,MIN,,,2.4,-0.4,271.0,2.0
0,emmanuelclase-RP,,@NYY,,,97.8,-0.2,381.0,5.1
0,enriquehernandez-OF,,TOR,,,11.9,-0.4,280.0,2.1
0,ericlauer-SP,,@COL,,,7.4,-3.6,273.0,9.8
0,erikswanson-RP,,@BOS,,,11.4,5.1,129.0,2.2
0,esteuryruiz-OF,,SEA,,,11.2,0.4,219.0,2.6
0,eugeniosuarez-3B,,@OAK,,,29.8,-4.0,297.0,2.0
0,euryperez-SP,,ATL,,,1.2,0.0,29.0,2.1
0,evanphillips-RP,,PHI,,,20.7,-2.0,229.0,4.5
0,ezequieltovar-SS,,MIL,,,7.7,-1.2,297.0,2.8
0,felixbautista-RP,,@KC,,,92.5,0.5,313.0,4.7
0,fernandotatisjr-SS,,CIN,,,99.2,0.1,377.0,2.9
0,frambervaldez-SP,,SF,,,98.9,0.0,407.0,12.7
0,franciscoalvarez-DH,,@DET,,,3.5,-0.1,144.0,2.4
0,franciscolindor-SS,,@DET,,,98.9,-0.3,423.0,2.7
0,frankiemontas-SP,IL60,CLE,,,3.5,0.0,40.0,10.0
0,freddiefreeman-1B,,PHI,,,99.9,0.0,502.0,3.2
0,freddyperalta-SP,,@COL,,,86.8,1.3,292.0,11.7
0,gabrielmoreno-C,,@TEX,,,9.2,-0.6,269.0,2.6
0,garrettcooper-1B,DTD,ATL,,,6.0,-4.2,214.0,1.7
0,garrettmitchell-OF,IL60,@COL,,,4.4,-2.9,162.0,1.9
0,garrettwhitlock-RP,IL15,TOR,,,10.3,-4.8,280.0,11.7
0,gavinstone-SP,,PHI,,,5.3,4.1,90.0,2.9
0,georgekirby-SP,,@OAK,,,87.6,2.3,303.0,10.8
0,georgespringer-OF,DTD,@BOS,,,94.7,-2.4,399.0,3.0
0,geraldoperdomo-SS,,@TEX,,,9.9,1.8,37.0,1.5
0,germanmarquez-SP,IL15,MIL,,,8.0,-2.6,294.0,9.5
0,gerritcole-SP,,CLE,,,99.9,0.0,547.0,17.1
0,giancarlostanton-OF,IL10,CLE,,,68.9,-2.9,257.0,2.2
0,giourshela-3B,,@STL,,,5.8,-0.5,268.0,2.0
0,giovannygallegos-RP,,LAA,,,9.9,-0.8,199.0,3.3
0,gleybertorres-2B,,CLE,,,89.1,-0.9,322.0,2.2
0,grahamashcraft-SP,,@SD,,,42.3,-2.8,161.0,3.4
0,graysonrodriguez-SP,,@KC,,,25.7,0.8,207.0,8.6
0,gregorysoto-RP,,@LAD,,,3.2,0.8,119.0,1.9
0,griffincanning-SP,,@STL,,,1.9,0.4,68.0,4.5
0,gunnarhenderson-3B,,@KC,,,61.0,-5.2,342.0,2.6
0,haroldramirez-1B,,PIT,,,31.6,5.7,219.0,1.8
0,harrisonbader-OF,,CLE,,,10.1,-0.1,268.0,2.0
0,haseongkim-SS,,CIN,,,9.7,-1.7,260.0,1.9
0,haydenwesneski-SP,,@WSH,,,6.8,2.1,199.0,4.6
0,hectorneris-RP,,SF,,,2.2,0.0,144.0,2.2
0,hunterbrown-SP,,SF,,,72.9,20.3,245.0,10.2
0,huntergreene-SP,,@SD,,,86.7,0.5,300.0,10.7
0,hunterrenfroe-OF,,@STL,,,83.4,1.9,316.0,2.3
0,ianhapp-OF,,@WSH,,,69.7,-2.0,304.0,2.0
0,isaacparedes-3B,,PIT,,,29.3,4.1,274.0,2.2
0,jackflaherty-SP,,LAA,,,33.1,-5.5,263.0,11.0
0,jacksuwinski-OF,,@TB,,,19.3,14.5,148.0,1.8
0,jacobdegrom-SP,IL15,ARI,,,99.6,0.0,376.0,17.9
0,jakeburger-3B,,MIN,,,3.9,0.6,85.0,1.7
0,jakecronenworth-2B,,CIN,,,86.9,-2.1,405.0,2.6
0,jakemccarthy-OF,,@TEX,,,17.3,-5.5,302.0,2.2
0,jameskarinchak-RP,,@NYY,,,3.8,-1.2,132.0,2.1
0,jamesontaillon-SP,IL15,@WSH,,,18.6,-1.7,301.0,9.7
0,jamesoutman-OF,,PHI,,,70.7,7.8,59.0,2.7
0,jaredwalsh-1B,IL10,@STL,,,3.7,-0.2,203.0,1.8
0,jarredkelenic-OF,,@OAK,,,59.7,11.6,192.0,1.9
0,jarrenduran-OF,,TOR,,,12.4,9.5,61.0,2.1
0,jasonadam-RP,,PIT,,,11.9,-2.3,209.0,3.2
0,javierbaez-SS,,NYM,,,15.9,-1.3,282.0,1.9
0,jazzchisholmjr-2B,,ATL,,,83.7,0.6,310.0,2.2
0,jddavis-3B,,@HOU,,,7.8,-0.8,190.0,1.4
0,jdmartinez-DH,IL10,PHI,,,63.3,-3.8,319.0,2.2
0,jeansegura-2B,,ATL,,,9.1,-1.1,291.0,2.2
0,jeffmcneil-2B,,@DET,,,87.3,2.2,339.0,2.3
0,jeffreysprings-SP,IL60,PIT,,,45.9,-9.5,296.0,11.0
0,jeimercandelario-3B,,CHC,,,4.6,-0.3,291.0,2.0
0,jeremypena-SS,,SF,,,67.4,2.8,290.0,1.9
0,jessechavez-RP,,@MIA,,,5.6,-3.3,113.0,2.0
0,jessewinker-OF,,@COL,,,13.2,-4.0,321.0,2.4
0,jesusluzardo-SP,,ATL,,,78.7,-6.7,314.0,12.1
0,jhoanduran-RP,,@CHW,,,46.6,-2.2,187.0,2.8
0,jhonybrito-SP,,CLE,,,3.7,-3.6,51.0,2.0
0,jihwanbae-OF,,@TB,,,6.5,3.6,78.0,2.8
0,jocpederson-OF,,@HOU,,,7.7,-0.7,240.0,1.8
0,joemusgrove-SP,,CIN,,,88.1,-3.0,372.0,13.3
0,joeryan-SP,,@CHW,,,94.8,2.2,307.0,10.2
0,joeygallo-OF,,@CHW,,,16.2,5.2,208.0,1.6
0,joeylucchesi-SP,,@DET,,,9.9,6.5,97.0,4.2
0,joeymeneses-1B,,CHC,,,18.7,-0.5,257.0,2.2
0,joeyvotto-1B,IL10,@SD,,,3.1,-0.3,240.0,2.0
0,johanoviedo-RP,,@TB,,,29.7,-9.3,81.0,3.4
0,johnnycueto-SP,IL15,ATL,,,1.4,-0.1,215.0,8.3
0,johnschreiber-RP,,TOR,,,4.1,-1.0,146.0,2.4
0,jonahheim-C,,ARI,,,67.7,18.3,186.0,1.7
0,jonathanindia-2B,,@SD,,,70.6,0.3,313.0,2.1
0,jonberti-2B,,ATL,,,5.2,-0.6,140.0,1.6
0,jongray-SP,,ARI,,,55.2,-2.6,284.0,10.5
0,jordanlyles-SP,,BAL,,,1.3,-1.4,222.0,6.9
0,jordanmontgomery-SP,,LAA,,,80.4,-1.7,357.0,11.2
0,jordanromano-RP,,@BOS,,,93.6,-0.2,340.0,5.4
0,jordanwalker-3B,,LAA,,,30.7,-22.7,218.0,2.9
